home_team,home_q1,home_q2,home_q3,home_q4,home_q5,home_final,away_team,away_q1,away_q2,away_q3,away_q4,away_q5,away_final,season,week
Los Angeles RamsLos Angeles (3-2),7,7,0,7,21,21,St. Louis CardinalsSt. Louis (1-4),0,0,0,0,0,0,1979,5
San Diego ChargersSan Diego (4-1),0,17,0,14,31,31,San Francisco 49ersSan Francisco (0-5),0,3,6,0,9,9,1979,5
Green Bay PackersGreen Bay (2-3),7,13,7,0,27,27,New England PatriotsNew England (3-2),7,7,0,0,14,14,1979,5
Buffalo BillsBuffalo (3-3),0,0,0,0,0,0,Chicago BearsChicago (3-3),0,0,0,7,7,7,1979,6
New England PatriotsNew England (4-2),0,14,0,10,24,24,Detroit LionsDetroit (1-5),0,3,14,0,17,17,1979,6
Atlanta FalconsAtlanta (3-3),10,5,3,7,25,25,Green Bay PackersGreen Bay (2-4),0,7,0,0,7,7,1979,6
Cincinnati BengalsCincinnati (0-6),0,0,7,0,7,7,Kansas City ChiefsKansas City (4-2),0,10,0,0,10,10,1979,6
Philadelphia EaglesPhiladelphia (5-1),7,7,14,0,28,28,Washington RedskinsWashington (4-2),0,7,0,10,17,17,1979,6
Cleveland BrownsCleveland (4-2),0,14,7,14,35,35,Pittsburgh SteelersPittsburgh (5-1),21,9,7,14,51,51,1979,6
Houston OilersHouston (4-2),0,14,0,3,17,17,St. Louis CardinalsSt. Louis (2-4),0,7,3,14,24,24,1979,6
New York GiantsNY Giants (1-5),0,14,0,3,17,17,Tampa Bay BuccaneersTampa Bay (5-1),0,7,0,7,14,14,1979,6
Minnesota VikingsMinnesota (3-3),7,3,10,0,20,20,Dallas CowboysDallas (5-1),3,20,7,6,36,36,1979,6
New Orleans SaintsNew Orleans (2-4),7,0,3,7,17,17,Los Angeles RamsLos Angeles (4-2),0,28,0,7,35,35,1979,6
Baltimore ColtsBaltimore (1-5),10,0,0,0,10,10,New York JetsNY Jets (2-4),0,3,3,2,8,8,1979,6
Denver BroncosDenver (4-2),0,0,7,0,7,7,San Diego ChargersSan Diego (4-2),0,0,0,0,0,0,1979,6
San Francisco 49ersSan Francisco (0-6),7,3,0,14,24,24,Seattle SeahawksSeattle (2-4),14,7,7,7,35,35,1979,6
Oakland RaidersOakland (3-3),0,0,13,0,13,13,Miami DolphinsMiami (4-2),0,0,3,0,3,3,1979,6
Miami DolphinsMiami (5-2),7,10,0,0,17,17,Buffalo BillsBuffalo (3-4),0,0,7,0,7,7,1979,7
Tampa Bay BuccaneersTampa Bay (5-2),0,0,7,7,14,14,New Orleans SaintsNew Orleans (3-4),0,0,21,21,42,42,1979,7
St. Louis CardinalsSt. Louis (2-5),3,3,7,7,20,20,Philadelphia EaglesPhiladelphia (6-1),0,7,10,7,24,24,1979,7
Cincinnati BengalsCincinnati (1-6),7,20,0,7,34,34,Pittsburgh SteelersPittsburgh (5-2),3,0,0,7,10,10,1979,7
New York GiantsNY Giants (2-5),2,27,0,3,32,32,San Francisco 49ersSan Francisco (0-7),3,0,7,6,16,16,1979,7
Cleveland BrownsCleveland (4-3),0,6,3,0,9,9,Washington RedskinsWashington (5-2),0,3,3,7,13,13,1979,7
Kansas City ChiefsKansas City (4-3),0,0,0,10,10,10,Denver BroncosDenver (5-2),3,7,7,7,24,24,1979,7
Baltimore ColtsBaltimore (1-6),6,0,3,7,16,16,Houston OilersHouston (5-2),7,7,14,0,28,28,1979,7
Chicago BearsChicago (3-4),0,7,0,0,7,7,New England PatriotsNew England (5-2),14,0,3,10,27,27,1979,7
Oakland RaidersOakland (4-3),10,9,10,21,50,50,Atlanta FalconsAtlanta (3-4),0,0,12,7,19,19,1979,7
Green Bay PackersGreen Bay (3-4),0,10,7,7,24,24,Detroit LionsDetroit (1-6),0,9,7,0,16,16,1979,7
San Diego ChargersSan Diego (5-2),7,0,7,6,20,20,Seattle SeahawksSeattle (2-5),0,3,0,7,10,10,1979,7
Dallas CowboysDallas (6-1),6,7,17,0,30,30,Los Angeles RamsLos Angeles (4-3),0,6,0,0,6,6,1979,7
New York JetsNY Jets (3-4),7,0,7,0,14,14,Minnesota VikingsMinnesota (3-4),0,0,0,7,7,7,1979,7
Buffalo BillsBuffalo (3-5),0,0,7,6,13,13,Baltimore ColtsBaltimore (2-6),0,7,0,7,14,14,1979,8
